"Admin_District";"GDP_2014"
"Eisenach, Stadt";38300
"Spree-Neiße";35300
"Teltow-Fläming";30300
"Sächsische Schweiz-Osterzgebirge";20400
"Uckermark";23900
"Rostock";34900
"Schwerin";35700
"Leipzig (Kreisfreie Stadt)";33800
"Mecklenburgische Seenplatte";23500
"Rostock (Kreisfreie Stadt)";21900
"Vorpommern-Rügen";20700
"Nordwestmecklenburg";20700
"Mittelsachsen";23900
"Vorpommern-Greifswald";20700
"Halle (Saale), Stadt";27100
"Ludwigslust-Parchim";20500
"Chemnitz, Stadt";32100
"Magdeburg";31900
"Vogtlandkreis";22400
"Zwickau";27100
"Dresden, Stadt";34300
"Bautzen";23100
"Görlitz";24700
"Meißen";24600
"Leipzig";23500
"Nordsachsen";23900
"Dessau-Roßlau, Stadt";27300
"Altmarkkreis Salzwedel";21900
"Anhalt-Bitterfeld";25100
"Sonneberg";25500
"Börde";25800
"Burgenlandkreis";21800
"Harz";21200
"Jerichower Land";23100
"Wittenberg";22900
"Mansfeld-Südharz";18300
"Saalekreis";29500
"Salzlandkreis";22200
"Stendal";21200
"Erfurt, Stadt";37100
"Eichsfeld";22200
"Nordhausen";23000
"Wartburgkreis";23500
"Unstrut-Hainich-Kreis";21500
"Kyffhäuserkreis";19200
"Altenburger Land";19200
"Schmalkalden-Meiningen";24400
"Gotha";24600
"Sömmerda";20700
"Hildburghausen";20800
"Ilm-Kreis";24800
"Weimarer Land";22300
"Saalfeld-Rudolstadt";24000
"Saale-Holzland-Kreis";21400
"Saale-Orla-Kreis";26000
"Greiz";19800
